gamma,mu,lam,eps,status,time,E_rmse,P_caiso,P_wecc,S_dev,E_AZ,E_CA,E_CO,E_ID,E_MT,E_NM,E_NV,E_OR,E_SD,E_TX,E_UT,E_WA,E_WY
0.1,0.01,0.01,1e-06,optimal,36.193,0.0,-9.419,-33.899,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
0.1,0.01,0.1,1e-06,optimal,16.74,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.015,-0.067,-0.209,0.027,-0.33
0.1,0.01,1.0,1e-06,optimal,5.069,0.0,-9.491,-34.425,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.204,-0.898,-0.296,0.015,-0.067,-0.206,0.03,-0.328
0.1,0.01,10.0,1e-06,optimal,2.192,0.003,-10.072,-36.679,3.028,-0.701,3.418,-0.643,-0.249,0.07,-0.176,-0.882,-0.262,0.018,-0.066,-0.179,0.067,-0.306
0.1,0.01,100.0,1e-06,optimal,1.399,0.015,-12.53,-40.13,14.584,-0.56,3.963,-0.042,0.164,0.53,0.096,-0.722,0.076,0.044,-0.057,0.093,0.434,-0.09
0.1,0.1,0.001,1e-06,optimal,23.693,0.0,-9.418,-33.894,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
0.1,0.1,0.01,1e-06,optimal,60.108,0.0,-9.419,-33.9,0.135,-0.716,3.357,-0.709,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
0.1,0.1,0.1,1e-06,optimal,17.019,0.0,-9.426,-33.959,0.136,-0.716,3.358,-0.709,-0.294,0.02,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.027,-0.328
0.1,0.1,1.0,1e-06,optimal,5.753,0.0,-9.491,-34.427,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.203,-0.897,-0.295,0.01,-0.067,-0.206,0.03,-0.326
0.1,0.1,10.0,1e-06,optimal,2.302,0.003,-10.072,-36.684,3.027,-0.7,3.417,-0.643,-0.248,0.069,-0.176,-0.881,-0.262,0.011,-0.066,-0.179,0.067,-0.305
0.1,0.1,100.0,1e-06,optimal,1.413,0.015,-12.53,-40.162,14.579,-0.56,3.962,-0.042,0.164,0.523,0.096,-0.722,0.076,0.028,-0.057,0.093,0.433,-0.09
0.1,1.0,0.001,1e-06,optimal,24.737,0.0,-9.419,-33.851,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
0.1,1.0,0.01,1e-06,optimal,12.715,0.0,-9.419,-33.856,0.337,-0.716,3.356,-0.704,-0.286,0.017,-0.202,-0.896,-0.297,0.002,-0.067,-0.207,0.026,-0.311
0.1,1.0,0.1,1e-06,optimal,5.648,0.0,-9.427,-33.915,0.339,-0.716,3.356,-0.703,-0.286,0.017,-0.201,-0.896,-0.297,0.002,-0.067,-0.207,0.027,-0.311
0.1,1.0,1.0,1e-06,optimal,2.613,0.001,-9.492,-34.385,0.516,-0.714,3.362,-0.697,-0.282,0.021,-0.199,-0.894,-0.293,0.002,-0.066,-0.204,0.03,-0.309
0.1,1.0,10.0,1e-06,optimal,1.391,0.003,-10.073,-36.657,3.036,-0.7,3.416,-0.638,-0.242,0.061,-0.172,-0.878,-0.26,0.002,-0.066,-0.177,0.067,-0.288
0.1,1.0,100.0,1e-06,optimal,1.322,0.015,-12.531,-40.28,14.559,-0.559,3.961,-0.042,0.159,0.46,0.094,-0.719,0.076,0.006,-0.056,0.092,0.432,-0.085
0.1,10.0,0.001,1e-06,optimal,26.573,0.001,-9.429,-33.437,1.226,-0.711,3.342,-0.651,-0.226,0.008,-0.166,-0.867,-0.277,0.0,-0.063,-0.188,0.025,-0.204
0.1,10.0,0.01,1e-06,optimal,9.703,0.001,-9.43,-33.444,1.226,-0.711,3.342,-0.651,-0.226,0.008,-0.166,-0.867,-0.277,0.0,-0.063,-0.188,0.026,-0.204
0.1,10.0,0.1,1e-06,optimal,2.553,0.001,-9.437,-33.503,1.23,-0.711,3.343,-0.65,-0.225,0.008,-0.165,-0.867,-0.277,0.0,-0.063,-0.188,0.026,-0.203
0.1,10.0,1.0,1e-06,optimal,3.42,0.001,-9.503,-33.98,1.286,-0.71,3.348,-0.645,-0.222,0.01,-0.163,-0.865,-0.274,0.0,-0.063,-0.186,0.029,-0.202
0.1,10.0,10.0,1e-06,optimal,2.224,0.003,-10.083,-36.323,3.163,-0.696,3.403,-0.59,-0.191,0.028,-0.141,-0.85,-0.243,0.0,-0.062,-0.161,0.065,-0.189
0.1,10.0,100.0,1e-06,optimal,1.375,0.014,-12.545,-40.666,14.488,-0.556,3.945,-0.039,0.126,0.209,0.077,-0.696,0.071,0.001,-0.053,0.084,0.418,-0.056
0.1,100.0,0.001,1e-06,optimal,46.077,0.004,-9.538,-32.051,4.159,-0.67,3.215,-0.372,-0.072,0.001,-0.059,-0.653,-0.167,0.0,-0.042,-0.099,0.019,-0.046
0.1,100.0,0.01,1e-06,optimal_inaccurate,126.41,0.004,-9.538,-32.057,4.16,-0.67,3.214,-0.372,-0.072,0.001,-0.059,-0.653,-0.167,0.0,-0.042,-0.099,0.019,-0.046
0.1,100.0,0.1,1e-06,optimal,122.846,0.004,-9.545,-32.119,4.162,-0.67,3.215,-0.371,-0.072,0.001,-0.059,-0.653,-0.167,0.0,-0.042,-0.099,0.02,-0.046
0.1,100.0,1.0,1e-06,optimal,2.259,0.004,-9.611,-32.611,4.187,-0.669,3.22,-0.368,-0.071,0.001,-0.058,-0.652,-0.165,0.0,-0.042,-0.097,0.022,-0.045
0.1,100.0,10.0,1e-06,optimal,1.628,0.005,-10.195,-35.122,4.698,-0.656,3.272,-0.337,-0.061,0.004,-0.051,-0.64,-0.146,0.0,-0.041,-0.085,0.049,-0.042
0.1,100.0,100.0,1e-06,optimal,2.186,0.014,-12.686,-41.136,14.369,-0.524,3.794,-0.022,0.04,0.032,0.028,-0.524,0.043,0.0,-0.036,0.044,0.318,-0.012
1.0,0.001,0.001,1e-06,optimal,28.086,0.0,-9.418,-33.891,0.0,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
1.0,0.001,0.01,1e-06,optimal,94.367,0.0,-9.418,-33.892,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
1.0,0.001,0.1,1e-06,optimal,114.17,0.0,-9.419,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
1.0,0.001,1.0,1e-06,optimal,49.711,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
1.0,0.001,10.0,1e-06,optimal,5.739,0.0,-9.491,-34.424,0.495,-0.715,3.363,-0.703,-0.291,0.024,-0.204,-0.898,-0.296,0.016,-0.067,-0.206,0.03,-0.328
1.0,0.001,100.0,1e-06,optimal,2.209,0.003,-10.072,-36.678,3.028,-0.701,3.418,-0.643,-0.249,0.07,-0.177,-0.882,-0.262,0.019,-0.066,-0.179,0.067,-0.306
1.0,0.01,0.001,1e-06,optimal,26.353,0.0,-9.418,-33.891,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
1.0,0.01,0.01,1e-06,optimal,107.795,0.0,-9.418,-33.892,0.002,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
1.0,0.01,0.1,1e-06,optimal,102.517,0.0,-9.418,-33.898,0.007,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.016,-0.067,-0.209,0.026,-0.33
1.0,0.01,1.0,1e-06,optimal,51.646,0.0,-9.426,-33.957,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.016,-0.067,-0.209,0.027,-0.33
1.0,0.01,10.0,1e-06,optimal,6.96,0.0,-9.491,-34.425,0.495,-0.715,3.363,-0.703,-0.291,0.024,-0.204,-0.898,-0.296,0.016,-0.067,-0.206,0.03,-0.328
1.0,0.01,100.0,1e-06,optimal,2.231,0.003,-10.072,-36.678,3.028,-0.701,3.418,-0.643,-0.249,0.07,-0.177,-0.882,-0.262,0.019,-0.066,-0.179,0.067,-0.306
1.0,0.1,0.001,1e-06,optimal,26.75,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
1.0,0.1,0.01,1e-06,optimal,52.551,0.0,-9.418,-33.892,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
1.0,0.1,0.1,1e-06,optimal,42.609,0.0,-9.419,-33.899,0.021,-0.716,3.357,-0.71,-0.295,0.019,-0.207,-0.899,-0.299,0.015,-0.067,-0.209,0.026,-0.33
1.0,0.1,1.0,1e-06,optimal,51.117,0.0,-9.426,-33.958,0.063,-0.716,3.358,-0.709,-0.295,0.02,-0.206,-0.899,-0.299,0.015,-0.067,-0.209,0.027,-0.33
1.0,0.1,10.0,1e-06,optimal,4.997,0.0,-9.491,-34.425,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.204,-0.898,-0.296,0.015,-0.067,-0.206,0.03,-0.328
1.0,0.1,100.0,1e-06,optimal,2.19,0.003,-10.072,-36.679,3.028,-0.701,3.418,-0.643,-0.249,0.07,-0.176,-0.882,-0.262,0.018,-0.066,-0.179,0.067,-0.306
1.0,1.0,0.001,1e-06,optimal,30.19,0.0,-9.418,-33.894,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
1.0,1.0,0.01,1e-06,optimal,67.98,0.0,-9.418,-33.894,0.135,-0.716,3.357,-0.71,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
1.0,1.0,0.1,1e-06,optimal,7.661,0.0,-9.418,-33.9,0.135,-0.716,3.357,-0.709,-0.294,0.019,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.026,-0.328
1.0,1.0,1.0,1e-06,optimal,22.463,0.0,-9.426,-33.959,0.136,-0.716,3.358,-0.709,-0.294,0.02,-0.206,-0.899,-0.299,0.01,-0.067,-0.209,0.027,-0.328
1.0,1.0,10.0,1e-06,optimal,8.128,0.0,-9.491,-34.427,0.495,-0.715,3.363,-0.703,-0.29,0.024,-0.203,-0.897,-0.295,0.01,-0.067,-0.206,0.03,-0.326
